X,Y,Thickness(nm)
30,-10,262.5561744
25,-10,259.9634487
20,-10,257.370723
15,-10,254.7779974
10,-10,252.1852717
5,-10,249.592546
0,-10,246.9998204
-5,-10,244.4070947
-10,-10,241.814369
-15,-10,239.2216434
-20,-10,236.6289177
-25,-10,234.036192
-30,-10,231.4434664
-35,-10,228.8507407
-40,-10,226.258015
-45,-10,223.6652894
-50,-10,221.0725637
-55,-10,218.479838
-60,-10,215.8871124
-65,-10,213.2943867
-65,-5,215.0444765
-60,-5,217.6372022
-55,-5,220.2299278
-50,-5,222.8226535
-45,-5,225.4153792
-40,-5,228.0081048
-35,-5,230.6008305
-30,-5,233.1935562
-25,-5,235.7862818
-20,-5,238.3790075
-15,-5,240.9717332
-10,-5,243.5644588
-5,-5,246.1571845
0,-5,248.7499102
5,-5,251.3426358
10,-5,253.9353615
15,-5,256.5280872
20,-5,259.1208128
25,-5,261.7135385
30,-5,264.3062642
35,-5,266.8989898
40,-5,269.4917155
45,-5,272.0844412
50,-5,274.6771668
55,-5,277.2698925
60,-5,279.8626182
65,-5,282.4553438
65,0,284.2054337
60,0,281.612708
55,0,279.0199823
50,0,276.4272567
45,0,273.834531
40,0,271.2418053
35,0,268.6490797
30,0,266.056354
25,0,263.4636283
20,0,260.8709027
15,0,258.278177
10,0,255.6854513
5,0,253.0927257
0,0,250.5
-5,0,247.9072743
-10,0,245.3145487
-15,0,242.721823
-20,0,240.1290973
-25,0,237.5363717
-30,0,234.943646
-35,0,232.3509203
-40,0,229.7581947
-45,0,227.165469
-50,0,224.5727433
-55,0,221.9800177
-60,0,219.387292
-65,0,216.7945663
-65,5,218.5446562
-60,5,221.1373818
-55,5,223.7301075
-50,5,226.3228332
-45,5,228.9155588
-40,5,231.5082845
-35,5,234.1010102
-30,5,236.6937358
-25,5,239.2864615
-20,5,241.8791872
-15,5,244.4719128
-10,5,247.0646385
-5,5,249.6573642
0,5,252.2500898
5,5,254.8428155
10,5,257.4355412
15,5,260.0282668
20,5,262.6209925
25,5,265.2137182
30,5,267.8064438
35,5,270.3991695
40,5,272.9918952
45,5,275.5846208
50,5,278.1773465
55,5,280.7700722
60,5,283.3627978
65,5,285.9555235
65,10,287.7056133
60,10,285.1128877
55,10,282.520162
50,10,279.9274363
45,10,277.3347107
40,10,274.741985
35,10,272.1492593
30,10,269.5565337
25,10,266.963808
20,10,264.3710823
15,10,261.7783567
10,10,259.185631
5,10,256.5929053
0,10,254.0001797
-5,10,251.407454
-10,10,248.8147283
-15,10,246.2220027
-20,10,243.629277
-25,10,241.0365513
-30,10,238.4438257
-35,10,235.8511
-40,10,233.2583743
-45,10,230.6656487
-50,10,228.072923
-55,10,225.4801973
-60,10,222.8874717
-65,10,220.294746
-65,15,222.0448358
-60,15,224.6375615
-55,15,227.2302871
-50,15,229.8230128
-45,15,232.4157385
-40,15,235.0084641
-35,15,237.6011898
-30,15,240.1939155
-25,15,242.7866411
-20,15,245.3793668
-15,15,247.9720925
-10,15,250.5648181
-5,15,253.1575438
0,15,255.7502695
5,15,258.3429951
10,15,260.9357208
15,15,263.5284465
20,15,266.1211721
25,15,268.7138978
30,15,271.3066235
35,15,273.8993491
40,15,276.4920748
45,15,279.0848005
50,15,281.6775261
55,15,284.2702518
60,15,286.8629775
65,15,289.4557031
65,20,291.205793
60,20,288.6130673
55,20,286.0203416
50,20,283.427616
45,20,280.8348903
40,20,278.2421646
35,20,275.649439
30,20,273.0567133
25,20,270.4639876
20,20,267.871262
15,20,265.2785363
10,20,262.6858106
5,20,260.093085
0,20,257.5003593
-5,20,254.9076336
-10,20,252.314908
-15,20,249.7221823
-20,20,247.1294566
-25,20,244.536731
-30,20,241.9440053
-35,20,239.3512796
-40,20,236.758554
-45,20,234.1658283
-50,20,231.5731026
-55,20,228.980377
-60,20,226.3876513
-65,20,223.7949256
-65,25,225.5450155
-60,25,228.1377411
-55,25,230.7304668
-50,25,233.3231925
-45,25,235.9159181
-40,25,238.5086438
-35,25,241.1013695
-30,25,243.6940951
-25,25,246.2868208
-20,25,248.8795465
-15,25,251.4722721
-10,25,254.0649978
-5,25,256.6577235
0,25,259.2504491
5,25,261.8431748
10,25,264.4359005
15,25,267.0286261
20,25,269.6213518
25,25,272.2140775
30,25,274.8068031
35,25,277.3995288
40,25,279.9922545
45,25,282.5849801
50,25,285.1777058
55,25,287.7704315
60,25,290.3631571
65,25,292.9558828
60,30,292.113247
55,30,289.5205213
50,30,286.9277956
45,30,284.33507
40,30,281.7423443
35,30,279.1496186
30,30,276.556893
25,30,273.9641673
20,30,271.3714416
15,30,268.778716
10,30,266.1859903
5,30,263.5932646
0,30,261.000539
-5,30,258.4078133
-10,30,255.8150876
-15,30,253.222362
-20,30,250.6296363
-25,30,248.0369106
-30,30,245.444185
-35,30,242.8514593
-40,30,240.2587336
-45,30,237.666008
-50,30,235.0732823
-55,30,232.4805566
-60,30,229.887831
-60,35,231.6379208
-55,35,234.2306464
-50,35,236.8233721
-45,35,239.4160978
-40,35,242.0088234
-35,35,244.6015491
-30,35,247.1942748
-25,35,249.7870004
-20,35,252.3797261
-15,35,254.9724518
-10,35,257.5651774
-5,35,260.1579031
0,35,262.7506288
5,35,265.3433544
10,35,267.9360801
15,35,270.5288058
20,35,273.1215314
25,35,275.7142571
30,35,278.3069828
35,35,280.8997084
40,35,283.4924341
45,35,286.0851598
50,35,288.6778854
55,35,291.2706111
60,35,293.8633368
55,40,293.0207009
50,40,290.4279753
45,40,287.8352496
40,40,285.2425239
35,40,282.6497983
30,40,280.0570726
25,40,277.4643469
20,40,274.8716213
15,40,272.2788956
10,40,269.6861699
5,40,267.0934443
0,40,264.5007186
-5,40,261.9079929
-10,40,259.3152673
-15,40,256.7225416
-20,40,254.1298159
-25,40,251.5370903
-30,40,248.9443646
-35,40,246.3516389
-40,40,243.7589133
-45,40,241.1661876
-50,40,238.5734619
-55,40,235.9807363
-50,45,240.3235518
-45,45,242.9162774
-40,45,245.5090031
-35,45,248.1017288
-30,45,250.6944544
-25,45,253.2871801
-20,45,255.8799058
-15,45,258.4726314
-10,45,261.0653571
-5,45,263.6580828
0,45,266.2508084
5,45,268.8435341
10,45,271.4362598
15,45,274.0289854
20,45,276.6217111
25,45,279.2144368
30,45,281.8071624
35,45,284.3998881
40,45,286.9926138
45,45,289.5853394
50,45,292.1780651
45,50,291.3354293
40,50,288.7427036
35,50,286.1499779
30,50,283.5572523
25,50,280.9645266
20,50,278.3718009
15,50,275.7790753
10,50,273.1863496
5,50,270.5936239
0,50,268.0008983
-5,50,265.4081726
-10,50,262.8154469
-15,50,260.2227213
-20,50,257.6299956
-25,50,255.0372699
-30,50,252.4445443
-35,50,249.8518186
-40,50,247.2590929
-45,50,244.6663673
-40,55,249.0091827
-35,55,251.6019084
-30,55,254.1946341
-25,55,256.7873597
-20,55,259.3800854
-15,55,261.9728111
-10,55,264.5655367
-5,55,267.1582624
0,55,269.7509881
5,55,272.3437137
10,55,274.9364394
15,55,277.5291651
20,55,280.1218907
25,55,282.7146164
30,55,285.3073421
35,55,287.9000677
40,55,290.4927934
35,60,289.6501576
30,60,287.0574319
25,60,284.4647062
20,60,281.8719806
15,60,279.2792549
10,60,276.6865292
5,60,274.0938036
0,60,271.5010779
-5,60,268.9083522
-10,60,266.3156266
-15,60,263.7229009
-20,60,261.1301752
-25,60,258.5374496
-30,60,255.9447239
-35,60,253.3519982
-25,65,260.2875394
-20,65,262.8802651
-15,65,265.4729907
-10,65,268.0657164
-5,65,270.6584421
0,65,273.2511677
5,65,275.8438934
10,65,278.4366191
15,65,281.0293447
20,65,283.6220704
25,65,286.2147961
